"72","371","147","5","1","2019-04-12 00:06:15","2019-04-12 00:06:15"
"73","372","147","5","1","2019-04-12 00:15:29","2019-04-12 00:15:29"
"74","373","147","5","1","2019-04-12 00:33:11","2019-04-12 00:33:11"
"75","374","147","5","1","2019-04-12 00:40:21","2019-04-12 00:40:21"
"76","376","147","5","1","2019-04-12 15:49:32","2019-04-12 15:49:32"
"77","377","147","5","1","2019-04-12 15:57:56","2019-04-12 15:57:56"
"78","391","777","5","1","2019-04-26 02:21:20","2019-04-26 02:21:20"
"79","392","777","5","1","2019-04-26 02:23:51","2019-04-26 02:23:51"
"80","393","777","5","1","2019-04-26 02:23:52","2019-04-26 02:23:52"
"81","396","777","5","1","2019-04-26 04:51:55","2019-04-26 04:51:55"
"82","397","777","5","1","2019-04-26 04:51:55","2019-04-26 04:51:55"
"83","398","777","5","1","2019-04-26 05:28:48","2019-04-26 05:28:48"
"84","399","777","5","1","2019-04-26 05:38:48","2019-04-26 05:38:48"
"85","400","777","5","1","2019-04-26 05:41:35","2019-04-26 05:41:35"
"86","402","788","5","1","2019-04-26 11:26:36","2019-04-26 11:26:36"
"87","406","712","5","8","2019-04-26 13:33:35","2019-04-26 13:33:35"
"88","408","712","5","1","2019-04-26 13:44:06","2019-04-26 13:44:06"
"89","410","712","5","1","2019-04-26 13:46:15","2019-04-26 13:46:15"
"90","412","760","5","1","2019-04-26 15:19:46","2019-04-26 15:19:46"
"91","413","804","5","1","2019-04-26 15:24:29","2019-04-26 15:24:29"
"92","414","809","5","1","2019-04-26 16:10:44","2019-04-26 16:10:44"
"93","415","804","5","10","2019-04-26 17:05:27","2019-04-26 17:05:27"
"94","417","810","5","5","2019-04-26 17:32:53","2019-04-26 17:32:53"
"95","418","826","6","1","2019-05-02 13:58:19","2019-05-02 13:58:19"
"96","420","760","6","1.02","2019-05-08 13:59:10","2019-05-08 13:59:10"
"97","421","760","6","1","2019-05-08 14:14:55","2019-05-08 14:14:55"
"98","423","760","7","1","2019-05-09 15:06:41","2019-05-09 15:06:41"
"99","426","856","5","10","2019-05-18 03:29:34","2019-05-18 03:29:34"
"100","429","827","1","2760","2019-05-21 06:47:19","2019-05-21 06:47:19"
"101","436","856","5","500","2019-05-31 16:14:16","2019-05-31 16:14:16"
"102","437","804","5","1000","2019-05-31 17:36:46","2019-05-31 17:36:46"
